День,Группа мышц,Порядок,Упражнение,Рекомендуемые подходы,Рекомендуемые повторения
День 1 - Тренировка A,Грудь,1,Жим штанги лежа,3-4,8-12
День 1 - Тренировка A,Грудь,2,Жим гантелей на наклонной скамье,3-4,8-12
День 1 - Тренировка A,Грудь,3,Сведение рук в тренажере (баттерфляй),3-4,8-12
День 1 - Тренировка A,Спина,1,Подтягивания,3-4,8-12
День 1 - Тренировка A,Спина,2,Тяга штанги в наклоне,3-4,8-12
День 1 - Тренировка A,Спина,3,Тяга горизонтального блока,3-4,8-12
День 1 - Тренировка A,Ноги,1,Приседания со штангой,3-4,8-12
День 1 - Тренировка A,Ноги,2,Жим ногами,3-4,8-12
День 1 - Тренировка A,Ноги,3,Сгибания ног лежа,3-4,8-12
День 1 - Тренировка A,Ноги,4,Подъем на носки стоя,3-4,8-12
День 1 - Тренировка A,Плечи,1,Жим гантелей сидя,3-4,8-12
День 1 - Тренировка A,Плечи,2,Махи гантелями в стороны,3-4,8-12
День 1 - Тренировка A,Плечи,3,Разведение в наклоне (задняя дельта),3-4,8-12
День 1 - Тренировка A,Руки,1,Подъем штанги на бицепс,3-4,8-12
День 1 - Тренировка A,Руки,2,Разгибания рук в блоке,3-4,8-12
День 1 - Тренировка A,Пресс,1,Скручивания в тренажере,3-4,8-12
День 1 - Тренировка A,Пресс,2,Подъем ног в висе,3-4,8-12
День 2 - Тренировка B,Грудь,1,Жим в тренажере сидя,3-4,8-12
День 2 - Тренировка B,Грудь,2,Разведение гантелей лежа,3-4,8-12
День 2 - Тренировка B,Грудь,3,Кроссовер в блоке,3-4,8-12
День 2 - Тренировка B,Спина,1,Тяга верхнего блока широким хватом,3-4,8-12
День 2 - Тренировка B,Спина,2,Тяга гантели в наклоне,3-4,8-12
День 2 - Тренировка B,Спина,3,Становая тяга,3-4,8-12
День 2 - Тренировка B,Спина,4,Шраги со штангой,3-4,8-12
День 2 - Тренировка B,Ноги,1,Фронтальные приседания,3-4,8-12
День 2 - Тренировка B,Ноги,2,Гакк-приседания,3-4,8-12
День 2 - Тренировка B,Ноги,3,Румынская тяга,3-4,8-12
День 2 - Тренировка B,Ноги,4,Подъем на носки сидя,3-4,8-12
День 2 - Тренировка B,Плечи,1,Жим штанги стоя (армейский жим),3-4,8-12
День 2 - Тренировка B,Плечи,2,Махи в стороны в тренажере,3-4,8-12
День 2 - Тренировка B,Плечи,3,Обратная бабочка (задняя дельта),3-4,8-12
День 2 - Тренировка B,Руки,1,Молот (молотковые сгибания),3-4,8-12
День 2 - Тренировка B,Руки,2,Жим лежа узким хватом,3-4,8-12
День 2 - Тренировка B,Пресс,1,Скручивания в кабеле (молитва),3-4,8-12
День 2 - Тренировка B,Пресс,2,Планка,3-4,8-12
День 3 - Тренировка C,Грудь,1,Жим гантелей лежа,3-4,8-12
День 3 - Тренировка C,Грудь,2,Жим на наклонной скамье в тренажере,3-4,8-12
День 3 - Тренировка C,Грудь,3,Отжимания на брусьях,3-4,8-12
День 3 - Тренировка C,Спина,1,Тяга верхнего блока обратным хватом,3-4,8-12
День 3 - Тренировка C,Спина,2,Т-гриф тяга,3-4,8-12
День 3 - Тренировка C,Спина,3,Пуловер в блоке,3-4,8-12
День 3 - Тренировка C,Ноги,1,Приседания в Смит машине,3-4,8-12
День 3 - Тренировка C,Ноги,2,Болгарские сплит-приседания,3-4,8-12
День 3 - Тренировка C,Ноги,3,Сгибания ног сидя,3-4,8-12
День 3 - Тренировка C,Ноги,4,Жим ногами (постановка ног высоко),3-4,8-12
День 3 - Тренировка C,Плечи,1,Жим в тренажере сидя,3-4,8-12
День 3 - Тренировка C,Плечи,2,Махи гантелями вперед,3-4,8-12
День 3 - Тренировка C,Плечи,3,Тяга к подбородку широким хватом,3-4,8-12
День 3 - Тренировка C,Плечи,4,Шраги с гантелями,3-4,8-12
День 3 - Тренировка C,Руки,1,Сгибания на скамье Скотта,3-4,8-12
День 3 - Тренировка C,Руки,2,Французский жим лежа,3-4,8-12
День 3 - Тренировка C,Пресс,1,Дровосек в кабеле,3-4,8-12
День 3 - Тренировка C,Пресс,2,Русские скручивания,3-4,8-12
День 3 - Тренировка C,Пресс,3,Боковая планка,3-4,8-12
